filename,provider,vcpu(s),device,instance,iteration,events,runtime(ms),time_per_task(ms),price,normalized_runtime,cost_per_task,normalized_cost
google_16_cpu-2.out,google,16,cpu,2,9,288,10321.9,35.839930555555554,0.8325,0.22488720058449013,0.18721859448658804,1.1012858499211058
google_16_cpu-2.out,google,16,cpu,2,10,288,10494.5,36.439236111111114,0.8325,0.22864770309089721,0.19034921282317194,1.1197012519010112
google_16_cpu-1.out,google,16,cpu,1,1,288,10320.4,35.83472222222222,0.8325,0.22485451950824673,0.1871913874906154,1.1011258087683256
google_16_cpu-1.out,google,16,cpu,1,2,288,10478.199999999999,36.382638888888884,0.8325,0.22829256872905224,0.190053563466936,1.1179621380407998
google_16_cpu-1.out,google,16,cpu,1,3,288,10311.7,35.80451388888889,0.8325,0.22466496926603505,0.18703358691397418,1.1001975700822009
google_16_cpu-1.out,google,16,cpu,1,4,288,10307.4,35.78958333333333,0.8325,0.2245712835141373,0.1869555935255193,1.0997387854442309
google_16_cpu-1.out,google,16,cpu,1,5,288,10305.9,35.784375,0.8325,0.22453860243789386,0.18692838652954666,1.0995787442914506
google_16_cpu-1.out,google,16,cpu,1,6,288,10309.1,35.79548611111111,0.8325,0.22460832206721315,0.18698642812095495,1.0999201654173818
google_16_cpu-1.out,google,16,cpu,1,7,288,10349.1,35.934375,0.8325,0.2254798174337038,0.18771194801355842,1.1041879294915198
google_16_cpu-1.out,google,16,cpu,1,8,288,10482.0,36.395833333333336,0.8325,0.2283753607888689,0.19012248785673336,1.118367575627843
google_16_cpu-1.out,google,16,cpu,1,9,288,10310.7,35.80104166666667,0.8325,0.2246431818818728,0.1870154489166591,1.1000908759803474
google_16_cpu-1.out,google,16,cpu,1,10,288,10306.699999999999,35.78715277777778,0.8325,0.2245560323452237,0.18694289692739874,1.0996640995729334
microsoft_8_cpu-1.out,microsoft,8,cpu,1,1,24,11168.6,465.35833333333335,0.34,2.920014945056166,0.9928050813190965,5.840029890112331
microsoft_8_cpu-1.out,microsoft,8,cpu,1,2,24,10867.1,452.79583333333335,0.34,2.841188189157089,0.9660039843134103,5.682376378314177
microsoft_8_cpu-1.out,microsoft,8,cpu,1,3,24,10869.300000000001,452.88750000000005,0.34,2.8417633760989727,0.9661995478736508,5.6835267521979445
microsoft_8_cpu-1.out,microsoft,8,cpu,1,4,24,10966.8,456.95,0.34,2.8672546155688234,0.9748665692934,5.734509231137646
microsoft_8_cpu-1.out,microsoft,8,cpu,1,5,24,11231.199999999999,467.96666666666664,0.34,2.93638162803886,0.9983697535332124,5.872763256077719
microsoft_8_cpu-1.out,microsoft,8,cpu,1,6,24,10868.4,452.84999999999997,0.34,2.84152807235002,0.9661195445990068,5.683056144700039
microsoft_8_cpu-1.out,microsoft,8,cpu,1,7,24,10928.800000000001,455.36666666666673,0.34,2.857319568390831,0.9714886532528826,5.714639136781661
microsoft_8_cpu-1.out,microsoft,8,cpu,1,8,24,10960.699999999999,456.69583333333327,0.34,2.865659779048145,0.9743243248763694,5.731319558096289
microsoft_8_cpu-1.out,microsoft,8,cpu,1,9,24,10842.4,451.76666666666665,0.34,2.834730408491393,0.9638083388870737,5.669460816982785
